Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.119,-0.0078995,-0.10019,0,0,0,7.3226,0.031401,1.2148E-17,-3.5779E-18,0.073434,1.7517E-18,0.051549,0,0,0,0,0,0,package://robot.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/base_link.STL,,cover-1;box-2;box-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thigh_link_A1,0.0700000000000024,-0.00649999999999995,-2.26207941267376E-15,0,0,0,0.116525440310417,2.45877499995411E-05,-7.11607766294997E-21,9.65617559869902E-20,0.000338559690951383,1.25830842650063E-21,0.000317254074187252,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_thigh_link_A1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_thigh_link_A1.STL,,thigh-5,Origin_left_hip_joint_A1,Axis_left_hip_joint_A1,left_hip_joint_A1,revolute,0.316,0.054,-0.06,3.1416,0.93114,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_shin_link_B1,-0.0899999999999959,-0.00650000000000001,2.91433543964104E-15,0,0,0,0.142525440310417,3.03705833328744E-05,-3.41385246021882E-21,5.0821976835258E-21,0.000603757766611385,-1.42293469730327E-21,0.000577401649847254,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_shin_link_B1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_shin_link_B1.STL,,shin-1,Origin_left_knee_joint_B1,Axis_left_knee_joint_B1,left_knee_joint_B1,revolute,0.14,-0.013,0,3.1416,1.4115,3.1416,left_thigh_link_A1,0,1,0,0,0,0,0,,,,,,,,
left_foot_link,-1.66533453693773E-16,-0.015,-1.35447209004269E-14,0,0,0,0.234111484545512,0.00016481448512004,-1.32690051411216E-21,5.2218507070405E-40,0.000294512247558254,-2.10584729793552E-35,0.00016481448512004,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_foot_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_foot_link.STL,,wheel-1,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.18,0,0,0,-0.77181,3.1416,left_shin_link_B1,0,1,0,,,,,,,,,,,,
left_thigh_link_A2,0.0700000000000071,-0.00650000000000001,-1.29063426612674E-14,0,0,0,0.116525440310417,2.45877499995411E-05,-5.563654511942E-21,1.43995601033231E-20,0.000338559690951383,1.34702180498065E-21,0.000317254074187252,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_thigh_link_A2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_thigh_link_A2.STL,,thigh-6,Origin_left_hip_joint_A2,Axis_left_hip_joint_A2,left_hip_joint_A2,revolute,0.298,0.156,-0.06,0,1.0252,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_shin_link_B2,-0.0899999999999941,0.00650000000000001,4.9960036108132E-15,0,0,0,0.142525440310417,3.03705833328744E-05,6.86450353833041E-21,-6.95414049695781E-19,0.000603757766611385,-3.90583193183651E-21,0.000577401649847254,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_shin_link_B2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/left_shin_link_B2.STL,,shin-2,Origin_left_knee_joint_B2,Axis_left_knee_joint_B2,left_knee_joint_B2,revolute,0.14,0,0,3.1416,-1.3743,3.1416,left_thigh_link_A2,0,1,0,0,0,0,0,,,,,,,,
right_thigh_link_A1,0.0700000000000161,0.00649999999999999,-9.10382880192628E-15,0,0,0,0.116525440310417,2.4587749999541E-05,-2.65568568604582E-20,1.16043513773839E-19,0.000338559690951382,-7.08180932887359E-22,0.000317254074187251,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_thigh_link_A1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_thigh_link_A1.STL,,thigh-7,Origin_right_hip_joint_A1,Axis_right_hip_joint_A1,right_hip_joint_A1,revolute,-0.078,0.054,-0.06,3.1416,1.1505,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_shin_link_B1,-0.0899999999999934,0.00650000000000001,1.36002320516582E-15,0,0,0,0.142525440310417,3.03705833328743E-05,-3.2088621656105E-21,3.04931861011548E-20,0.000603757766611383,-4.60414956120792E-21,0.000577401649847252,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_shin_link_B1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_shin_link_B1.STL,,shin-3,Origin_right_knee_joint_B1,Axis_right_knee_joint_B1,right_knee_joint_B1,revolute,0.14,0.013,0,3.1416,1.2092,3.1416,right_thigh_link_A1,0,1,0,0,0,0,0,,,,,,,,
right_foot_link,-6.93889390390723E-15,0.015,-7.16787740273617E-14,0,0,0,0.234111484545512,0.00016481448512004,-1.65600539287963E-21,0,0.000294512247558254,8.07137974919034E-21,0.00016481448512004,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_foot_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_foot_link.STL,,wheel-2,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,-0.18,0,0,0,-0.43363,3.1416,right_shin_link_B1,0,1,0,,,,,,,,,,,,
right_thigh_link_A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_thigh_link_A2.STL,1,1,1,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_thigh_link_A2.STL,,thigh-8,Origin_right_hip_joint_A2,Axis_right_hip_joint_A2,right_hip_joint_A2,revolute,-0.06,0.156,-0.06,0,0.95304,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_shin_link_B2,-0.0900000000000098,-0.00649999999999996,1.11022302462516E-14,0,0,0,0.142525440310417,3.03705833328745E-05,2.06043085938575E-20,3.17637355220363E-19,0.000603757766611384,-2.45920277178712E-22,0.000577401649847253,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_shin_link_B2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot.SLDASM/meshes/right_shin_link_B2.STL,,shin-4,Origin_right_knee_joint_B2,Axis_right_knee_joint_B2,right_knee_joint_B2,revolute,0.14,0,0,3.1416,-1.2928,3.1416,right_thigh_link_A2,0,1,0,0,0,0,0,,,,,,,,
